Name,Supplier,PartNumber,Price,DocURL,Skip,MirroredConnector,Backwards,Connectors,CopyComponents,PinMap,DownloadType,DownloadURL,Filename
ADXL335 - 5V ready triple-axis accelerometer (+-3g analog out),Adafruit,163,$14.95 ,http://adafru.it/163,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Analog-Accelerometers-PCBs,
ADXL326 - 5V ready triple-axis accelerometer (+-16g analog out),Adafruit,1018,$17.95 ,http://adafru.it/1018,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Analog-Accelerometers-PCBs,
ADXL377 - High-G Triple-Axis Accelerometer (+-200g Analog Out),Adafruit,1413,$24.95 ,http://adafru.it/1413,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Analog-Accelerometers-PCBs,
Adafruit 12-Channel 16-bit PWM LED Driver - SPI Interface,Adafruit,1455,$7.50 ,http://adafru.it/1455,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-TLC59711-Breakout-PCB,Adafruit-TLC59711-Breakout-PCB/trunk/adafruit tlc59711 v1.brd
USB/DC  Lithium Polymer battery charger 5-12V,Adafruit,280,$17.95 ,http://adafru.it/280,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-USB-DC-LiPoly-Charger,Adafruit-USB-DC-LiPoly-Charger/trunk/Adafruit_MCP7386x.brd
"OLED Breakout Board - 16-bit Color 1.5"" w/microSD holder",Adafruit,1431,$39.95 ,http://adafru.it/1431,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-1.5inch-Color-OLED-PCB,Adafruit-1.5inch-Color-OLED-PCB/trunk/Adafruit_1.5_128x128_RGB_OLED.brd
"SHARP Memory Display Breakout - 1.3"" 96x96 Silver Monochrome",Adafruit,1393,$39.95 ,http://adafru.it/1393,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-Sharp-Memory-Display,Adafruit-Sharp-Memory-Display/trunk/Adafruit_SharpMemoryDisplay.brd
Triple-axis Accelerometer+Magnetometer (Compass) Board - LSM303,Adafruit,1120,$14.95 ,http://adafru.it/1120,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-LSM303-PCB,Adafruit-LSM303-PCB/trunk/Adafruit_LSM303DLHC.brd
Thermocouple Amplifier MAX31855 breakout board (MAX6675 upgrade),Adafruit,269,$14.95 ,http://adafru.it/269,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-MAX31855-breakout-board,
ADXL345 - Triple-Axis Accelerometer (+-2g/4g/8g/16g) w/ I2C/SPI,Adafruit,1231,$17.50 ,http://adafru.it/1231,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit_ADXL345_PCB,Adafruit_ADXL345_PCB/trunk/Adafruit_ADXL345.brd
"Monochrome 0.96"" 128x64 OLED graphic display",Adafruit,326,$19.50 ,http://adafru.it/326,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-128x64-Monochrome-OLED-PCB,
BMP085 Barometric Pressure/Temperature/Altitude Sensor- 5V ready,Adafruit,391,$19.95 ,http://adafru.it/391,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-BMP085-PCB,Adafruit-BMP085-PCB/trunk/Adafruit_BMP085.brd
INA219  High Side DC Current Sensor Breakout - 26V 3.2A Max,Adafruit,904,$9.95 ,http://adafru.it/904,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-INA219-Current-Sensor-PCB,Adafruit-INA219-Current-Sensor-PCB/trunk/Adafruit_INA219_CurPowerMonitor.brd
Monochrome 128x32 I2C OLED graphic display,Adafruit,931,$17.50 ,http://adafru.it/931,TRUE,FALSE,FALSE,,,,svn,https://github.com/adafruit/Adafruit-128x32-I2C-OLED-Breakout-PCB,Adafruit-128x32-I2C-OLED-Breakout-PCB/trunk/Adafruit OLED 128x32 Mono I2C.brd
